,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
61,TIGER 코스닥150 레버리지,233160,파생상품/레버리지,1347,16830,1198418,38.35,0.32,미래에셋자산운용
62,KODEX 자동차,091180,섹터/경기소비재,1299,18790,268461,24.6,0.45,삼성자산운용
63,TIGER 200선물인버스2X,252710,파생상품/인버스,1263,2850,3794483,-37.77,0.09,미래에셋자산운용
64,KBSTAR ESG사회책임투자,290130,테마/SRI,1208,12190,354305,25.22,0.3,케이비자산운용
65,ARIRANG 코스피TR,328370,시장지수/코스피200,1203,13820,34898,23.84,0.15,한화자산운용
66,KODEX 단기변동금리부채권액티브,273140,채권/단기자금,1167,102315,131,0.12,0.15,삼성자산운용
67,KODEX Fn성장,325010,스타일/스타일,1154,16980,36779,24.49,0.3,삼성자산운용
68,TIGER 미국S&P500,360750,해외지수/해외지수,1149,10275,348390,7.82,0.07,미래에셋자산운용
69,TIGER 원유선물Enhanced(H),130680,상품/원유,1138,2185,1368119,12.34,0.7,미래에셋자산운용
70,KODEX 국채선물10년인버스,176950,파생상품/인버스,1130,46080,11079,1.85,0.07,삼성자산운용
71,TIGER 헬스케어,143860,섹터/의료,1094,51810,120193,21.46,0.4,미래에셋자산운용
72,KINDEX 삼성그룹섹터가중,108450,그룹주/삼성,1074,15100,21457,30.17,0.15,한국투자신탁운용
74,KODEX 미국S&P500선물(H),219480,해외지수/해외지수,998,17700,80346,14.6,0.25,삼성자산운용
75,TIGER 200선물레버리지,267770,파생상품/레버리지,996,16190,2568381,55.37,0.09,미래에셋자산운용
76,KODEX KRX300,292190,시장지수/KRX300,990,17670,35257,25.19,0.05,삼성자산운용
77,KINDEX 미국S&P500,360200,해외지수/해외지수,944,10390,157874,7.67,0.09,한국투자신탁운용
78,KODEX MSCI Korea,156080,시장지수/MSCI Korea Index,915,18260,871,26.59,0.15,삼성자산운용
79,TIGER 중장기국채,302190,채권/국공채권,909,53560,3084,-0.93,0.15,미래에셋자산운용
80,TIGER 미국S&P500레버리지(합성 H),225040,파생상품/레버리지,900,23780,23301,29.73,0.59,미래에셋자산운용
82,TIGER 유로스탁스50(합성 H),195930,해외지수/해외지수,833,11910,26573,12.09,0.25,미래에셋자산운용
83,KBSTAR 단기국공채액티브,272560,채권/국공채권,824,101660,1217,0.23,0.07,케이비자산운용
84,KODEX 국고채3년,114260,채권/국공채권,801,58105,9864,-0.15,0.15,삼성자산운용
85,KODEX 심천ChiNext(합성),256750,해외지수/해외지수,785,11870,82534,7.62,0.47,삼성자산운용
86,KODEX 반도체,091160,섹터/IT,759,31590,92924,21.17,0.45,삼성자산운용
88,KODEX 중국본토CSI300,283580,해외지수/해외지수,723,13365,53092,8.0,0.55,삼성자산운용
89,TIGER 차이나HSCEI,245360,해외지수/해외지수,718,12345,14477,4.62,0.35,미래에셋자산운용
90,KODEX 증권,102970,섹터/금융,676,7400,291038,23.54,0.45,삼성자산운용
91,TIGER 국채3년,114820,채권/국공채권,667,111125,11441,-0.18,0.15,미래에셋자산운용
92,SMART KRX300,292500,시장지수/KRX300,652,17610,9628,24.99,0.05,신한비엔피파리바자산운용
93,KBSTAR 금융채액티브,336160,채권/회사채권,640,103215,399,0.4,0.07,케이비자산운용
94,KODEX 코스피TR,359210,시장지수/코스피200,639,12760,27584,23.76,0.07,삼성자산운용
95,TIGER 부동산인프라고배당,329200,기타/기타,631,4945,64459,12.79,0.29,미래에셋자산운용
96,TIGER 인버스,123310,파생상품/인버스,622,4905,322430,-20.89,0.09,미래에셋자산운용
97,TIGER 소프트웨어,157490,섹터/IT,620,14150,96706,4.2,0.4,미래에셋자산운용
98,ARIRANG 신흥국MSCI(합성 H),195980,해외지수/해외지수,611,12155,29124,18.35,0.5,한화자산운용
99,TIGER 미국MSCI리츠(합성 H),182480,해외지수/해외지수,610,12105,15977,13.8,0.25,미래에셋자산운용
