Symbol,Name,Industry,IndustryCode
OAC.U,Oaktree Acquisition Corp Unit,기타 금융업,556010
CLII,Climate Change Crisis Real Impact I Acquisition Corp Class A,기타 금융업,556010
SNV PR E,Synovus Financial Corp PRF,은행,551010
TGS,Transportadora de Gas del Sur SA ADR,오일 및 가스,501020
CCAC,CITIC Capital Acquisition Corp Class A,기타 금융업,556010
NGL,NGL Energy Partners LP Unit,오일 및 가스,501020
WIA,Western Asset Inflation-Linked Income Fund,다양한 금융서비스,555010
OIA,Invesco Municipal Income Opportunities Trust,다양한 금융서비스,555010
TEI,Templeton Emerging Markets Income Fund,다양한 금융서비스,555010
AIZP,Assurant Inc Convertible Preference Shares Series D,보험,553010
JRO,Nuveen Floating Rate Income Opportunity Fund,다양한 금융서비스,555010
JRI,Nuveen Real Asset Income and Growth Fund,다양한 금융서비스,555010
DLR PR L,Digital Realty Trust Inc PRF,주택 및 상업용 리츠,601020
VRTV,Veritiv Corp,화물 및 물류 서비스,524050
RPLA,Replay Acquisition Corp,기타 금융업,556010
ASG,Liberty All-Star Growth Fund Inc,다양한 금융서비스,555010
GFX.U,Golden Falcon Acquisition Corp,기타 금융업,556010
MSB,Mesabi Trust,메탈&마이닝,512010
TINV,Tiga Acquisition Corp,기타 금융업,556010
PFL,PIMCO Income Strategy Fund,다양한 금융서비스,555010
PLYM,Plymouth Industrial REIT Inc,주택 및 상업용 리츠,601020
LHC.U,Leo Holdings Corp II Unit,기타 금융업,556010
RM,Regional Management Corp,은행,551010
CAP.U,Capitol Investment Corp V,기타 금융업,556010
TISI,Team Inc,전문 및 상업 서비스,522030
