Symbol,Name,Industry,IndustryCode
MRC,MRC Global Inc,"건설장비 및 대형차, 기차, 배",521020
NVGS,Navigator Holdings Ltd,오일 및 가스 장비 및 서비스,501030
TCS,Container Store Group Inc,전문품 상점,534030
VYGG.U,Vy Global Growth,기타 금융업,556010
KODK,Eastman Kodak Co,"컴퓨터, 전화 및 가전제품",571060
FPAC.U,Far Peak Acquisition Corp Unit,기타 금융업,556010
EOI,Eaton Vance Enhanced Equity Income Fund,다양한 금융서비스,555010
BTO,John Hancock Financial Opportunities Fund,다양한 금융서비스,555010
BY,Byline Bancorp Inc,은행,551010
BLX,Foreign Trade Bank of Latin America Inc Class E,은행,551010
RC,Ready Capital Corp,주택 및 상업용 리츠,601020
WFC PR P,Wells Fargo & Co ADR,은행,551010
LOMA,Loma Negra Compania Industrial Argentina SA ADR,건축 자재,512020
ASIX,AdvanSix Inc,화학,511010
VEC,Vectrus Inc,전문 및 상업 서비스,522030
ALL PR G,Allstate Corp ADR,보험,553010
UMH,UMH Properties Inc,주택 및 상업용 리츠,601020
USB PR P,U.S. Bancorp ADR,은행,551010
TFC PR O,Truist Financial Corp ADR,은행,551010
HIO,Western Asset High Income Opportunity Fund Inc,다양한 금융서비스,555010
BBAR,Banco Bbva Argentina SA ADR,은행,551010
CURO,CURO Group Holdings Corp,은행,551010
GOAC.U,GO Acquisition Corp,기타 금융업,556010
VVR,Invesco senior income trust,다양한 금융서비스,555010
GMRE,Global Medical REIT Inc,주택 및 상업용 리츠,601020
VCV,Invesco California Value Municipal Income Trust,다양한 금융서비스,555010
FF,FutureFuel Corp,재생에너지,502010
BGY,BlackRock Enhanced International Dividend Trust,다양한 금융서비스,555010
PROS,ProSight Global Inc,보험,553010
IHC,Independence Holding Co,보험,553010
PZN,Pzena Investment Management Inc Class A,투자은행 및 서비스,551020
HZAC.U,Horizon Acquisition Corp,기타 금융업,556010
CSV,Carriage Services Inc,"개인, 가정 용품 및 서비스",542010
CAAP,Corporacion America Airports SA,운송 인프라,524070
IVR,Invesco Mortgage Capital Inc,주택 및 상업용 리츠,601020
SCHW PR C,Charles Schwab Corp ADR,투자은행 및 서비스,551020
WTTR,Select Energy Services Inc Class A,오일 및 가스 장비 및 서비스,501030
MUC,BlackRock Muniholdings California Quality Fund Inc,다양한 금융서비스,555010
MET PR A,MetLife Inc PRF,보험,553010
SRG,Seritage Growth Properties Class A,주택 및 상업용 리츠,601020
MMD,Mainstay Mackay Definedterm Municipal Opportunities Fund,다양한 금융서비스,555010
TREB.U,Trebia Acquisition Corp Unit,기타 금융업,556010
WBAI,500.Com Ltd ADR,호텔 및 엔터테인먼트,533010
RFP,Resolute Forest Products Inc,종이 및 임산물,513010
GLP,Global Partners LP Unit,오일 및 가스,501020
CPF,Central Pacific Financial Corp,은행,551010
CAI,CAI International Inc,화물 및 물류 서비스,524050
BBDC,Barings BDC Inc,다양한 금융서비스,555010
LDL,Lydall Inc,"건설장비 및 대형차, 기차, 배",521020
NEE PR K,NextEra Energy Capital Holdings Inc PRF,은행,551010
DAC,Danaos Corp,화물 및 물류 서비스,524050
SEAH,Sports Entertainment Acquisition Corp. Class A,기타 금융업,556010
GHY,PGIM Global High Yield Fund Inc,다양한 금융서비스,555010
KNOP,Knot Offshore Partners LP Unit,오일 및 가스 장비 및 서비스,501030
NXJ,Nuveen New Jersey Quality Municipal Income Fund,다양한 금융서비스,555010
NYCB PR A,New York Community Bancorp Inc ADR,은행,551010
HZON.U,Horizon Acquisition II Corp,기타 금융업,556010
CLDT,Chatham Lodging Trust,주택 및 상업용 리츠,601020
MVF,BlackRock MuniVest Fund Inc,다양한 금융서비스,555010
ETH,Ethan Allen Interiors Inc,가정용품,532040
ONE,OneSmart International Education Group Ltd ADR,교육서비스,631010
GCO,Genesco Inc,전문품 상점,534030
SRE PR B,Sempra Energy Convertible Preference Shares Series B,복합 유틸리티,591040
CEQP PR,Crestwood Equity Partners LP Unit,오일 및 가스 장비 및 서비스,501030
BGB,Blackstone Strategic Credit Fund,다양한 금융서비스,555010
REVG,REV Group Inc,"건설장비 및 대형차, 기차, 배",521020
AVK,Advent Convertible and Income Fund,다양한 금융서비스,555010
RF PR C,Regions Financial Corp ADR,은행,551010
REV,Revlon Inc Class A,"개인, 가정 용품 및 서비스",542010
THR,Thermon Group Holdings Inc,"건설장비 및 대형차, 기차, 배",521020
ACIC.U,Atlas Crest Investment Corp,기타 금융업,556010
BLW,BlackRock Ltd Duration Income Trust,다양한 금융서비스,555010
TG,Tredegar Corp,메탈&마이닝,512010
RYI,Ryerson Holding Corp,메탈&마이닝,512010
HIX,Western Asset High Income Fund II Inc,다양한 금융서비스,555010
BME,Blackrock Health Sciences Trust,다양한 금융서비스,555010
FMAC,FirstMark Horizon Acquisition Corp Class A,기타 금융업,556010
AXS PR E,AXIS Capital Holdings Ltd ADR,보험,553010
DMYD,dMY Technology Group II Inc Class A,기타 금융업,556010
HVT,Haverty Furniture Companies Inc,전문품 상점,534030
STT PR G,State Street Corp ADR,투자은행 및 서비스,551020
SPNV,Supernova Partners Acquisition Company  Inc. Class A,기타 금융업,556010
MUI,BlackRock Muni Intermediate Duration Fund Inc,다양한 금융서비스,555010
KEY PR I,KeyCorp ADR,은행,551010
RF PR B,Regions Financial Corp ADR,은행,551010
GLOG,GasLog Ltd,화물 및 물류 서비스,524050
AIG PR A,American International Group Inc ADR,보험,553010
IFN,India Fund Inc,다양한 금융서비스,555010
MMU,Western Asset Managed Municipals Fund Inc,다양한 금융서비스,555010
EFT,Eaton Vance Floating-Rate Income Trust,다양한 금융서비스,555010
CCV.U,Churchill Capital V Corp,기타 금융업,556010
IMPX,AEA-Bridges Impact Corp. Class A,기타 금융업,556010
FLNG,FLEX LNG Ltd,오일 및 가스,501020
TUFN,Tufin Software Technologies Ltd,소프트웨어 및 IT서비스,572010
ACND,Ascendant Digital Acquisition Corp Class A,기타 금융업,556010
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,다양한 금융서비스,555010
ATH PR D,Athene Holding Ltd ADR,보험,553010
NPTN,NeoPhotonics Corp,반도체 및 반도체 장비,571010
CMO,Capstead Mortgage Corp,주택 및 상업용 리츠,601020
GCI,Gannett Co Inc,미디어 및 출판,533020
PACE.U,Tpg Pace Tech Opportunities Corp,기타 금융업,556010
GPMT,Granite Point Mortgage Trust Inc,주택 및 상업용 리츠,601020
EQD,Equity Distribution Acquisition Corp Class A,기타 금융업,556010
ELAT,Elanco Animal Health Inc Unit,제약,562010
MPX,Marine Products Corp,레저 상품,532050
ALL PR B,Allstate Corp PRF,보험,553010
REX,REX American Resources Corp,재생에너지,502010
MUA,BlackRock MuniAssets Fund Inc,다양한 금융서비스,555010
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc,다양한 금융서비스,555010
ECOM,ChannelAdvisor Corp,소프트웨어 및 IT서비스,572010
GTS,Triple-S Management Corp Class B,헬스케어 업체 및 서비스,561020
HMLP,Hoegh LNG Partners LP Unit,오일 및 가스 장비 및 서비스,501030
JPI,Nuveen Preferred and Income Term Fund,다양한 금융서비스,555010
ASPN,Aspen Aerogels Inc,주택건설,532030
BXG,Bluegreen Vacations Corp,호텔 및 엔터테인먼트,533010
FUSE,Fusion Acquisition Corp Class A,기타 금융업,556010
AVD,American Vanguard Corp,화학,511010
EVN,Eaton Vance Municipal Income Trust,다양한 금융서비스,555010
MFL,Blackrock Muniholdings Investment Quality Fund,다양한 금융서비스,555010
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,다양한 금융서비스,555010
COE,China Online Education Group ADR,비즈니스교육,631030
DNK,Phoenix Tree Holdings Ltd ADR,부동산 운영 관리,601010
INSW,International Seaways Inc,오일 및 가스 장비 및 서비스,501030
PSA PR N,Public Storage ADR,주택 및 상업용 리츠,601020
HPS,John Hancock Preferred Income Fund III,다양한 금융서비스,555010
PCPL.U,CC Neuberger Principal Holdings I Unit,기타 금융업,556010
NCV,Allianzgi Convertible & Income Fund,다양한 금융서비스,555010
PSA PR L,Public Storage ADR,주택 및 상업용 리츠,601020
COF PR H,Capital One Financial Corp ADR,은행,551010
ACIC,Atlas Crest Investment Corp Class A,기타 금융업,556010
JFR,Nuveen Floating Rate Income Fund,다양한 금융서비스,555010
MS PR L,Morgan Stanley ADR,투자은행 및 서비스,551020
IGD,Voya Global Equity Dividend and Premium Opportunity Fund,다양한 금융서비스,555010
UZD,United States Cellular Corp PRF,통신 서비스,574010
MYN,BlackRock MuniYield New York Quality Fund Inc,다양한 금융서비스,555010
NEW,Puxin Ltd ADR,교육서비스,631010
IIAC,Investindustrial Acquisition Corp Class A,기타 금융업,556010
DUKH,Duke Energy Corp PRF,전기 유틸리티,591010
IPV,InterPrivate Acquisition Corp,기타 금융업,556010
PNTM.U,Pontem Corp,기타 금융업,556010
LEO,BNY Mellon Strategic Municipals Inc,다양한 금융서비스,555010
JIH,Juniper Industrial Holdings Inc Class A,기타 금융업,556010
MTW,Manitowoc Company Inc,"건설장비 및 대형차, 기차, 배",521020
JHB,Nuveen Corporate Income November 2021 Target Term Fund,다양한 금융서비스,555010
MQY,BlackRock MuniYield Quality Fund Inc,다양한 금융서비스,555010
SEAH.U,Sports Entertainment Acquisition Corp.,기타 금융업,556010
MCA,Blackrock Muniyield California Quality Fund Inc,다양한 금융서비스,555010
NHF,NexPoint Strategic Opportunities Fund,다양한 금융서비스,555010
TFC PR G,Truist Financial Corp ADR,은행,551010
FSD,First Trust High Income Long/Short Fund,다양한 금융서비스,555010
USB PR O,U.S. Bancorp ADR,은행,551010
ISD,PGIM High Yield Bond Fund Inc,다양한 금융서비스,555010
FRC PR K,First Republic Bank ADR,은행,551010
THW,Tekla World Healthcare Fund,다양한 금융서비스,555010
UZE,United States Cellular Corp PRF,통신 서비스,574010
FMAC.U,FirstMark Horizon Acquisition Corp,기타 금융업,556010
TDW,Tidewater Inc,오일 및 가스 장비 및 서비스,501030
NBR,Nabors Industries Ltd,오일 및 가스 장비 및 서비스,501030
EFR,Eaton Vance Senior Floating-Rate Trust,다양한 금융서비스,555010
DSU,BlackRock Debt Strategies Fund Inc,다양한 금융서비스,555010
VHI,Valhi Inc,화학,511010
SRLP,Sprague Resources LP Unit,오일 및 가스,501020
FAII,Fortress Value Acquisition Corp II Class A,기타 금융업,556010
MCS,Marcus Corp,호텔 및 엔터테인먼트,533010
DMYD.U,dMY Technology Group II Inc,기타 금융업,556010
PKO,PIMCO Income Opportunity Fund,다양한 금융서비스,555010
LXFR,Luxfer Holdings PLC,"건설장비 및 대형차, 기차, 배",521020
USB PR Q,U.S. Bancorp ADR,은행,551010
UVE,Universal Insurance Holdings Inc,보험,553010
CAF,Morgan Stanley China A Share Fund Inc,다양한 금융서비스,555010
HPI,John Hancock Preferred Income Fund,다양한 금융서비스,555010
SXC,SunCoke Energy Inc,메탈&마이닝,512010
VPG,Vishay Precision Group Inc,"건설장비 및 대형차, 기차, 배",521020
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust,다양한 금융서비스,555010
BZH,Beazer Homes USA Inc,주택건설,532030
KEY PR K,KeyCorp ADR,은행,551010
CO,Global Cord Blood Corp,헬스케어 업체 및 서비스,561020
MOV,Movado Group Inc,섬유 및 의류,532020
EBF,Ennis Inc,전문 및 상업 서비스,522030
DPG,Duff & Phelps Utility and Infrastructure Fund Inc,다양한 금융서비스,555010
SOI,Solaris Oilfield Infrastructure Inc Class A,오일 및 가스 장비 및 서비스,501030
RYAM,Rayonier Advanced Materials Inc,화학,511010
STPC.U,Star Peak Corp II,기타 금융업,556010
HQL,Tekla Life Sciences Investors,다양한 금융서비스,555010
ESGC,Eros STX Global Corp Class A,미디어 및 출판,533020
FUSE.U,Fusion Acquisition Corp Unit,기타 금융업,556010
ACND.U,Ascendant Digital Acquisition Corp,기타 금융업,556010
SPNV.U,"Supernova Partners Acquisition Company, Inc.",기타 금융업,556010
TFC PR H,Truist Financial Corp ADR,은행,551010
PPT,Putnam Premier Income Trust,다양한 금융서비스,555010
IPV.U,InterPrivate Acquisition Corp Unit,기타 금융업,556010
BCEI,Bonanza Creek Energy Inc,오일 및 가스,501020
CFG PR E,Citizens Financial Group Inc ADR,은행,551010
VER PR F,VEREIT Inc PRF,주택 및 상업용 리츠,601020
STIC,Northern Star Acquisition Corp Class A,기타 금융업,556010
HIGA,HIG Acquisition Corp Class A,기타 금융업,556010
MNR PR C,Monmouth Real Estate Investment Corp PRF,주택 및 상업용 리츠,601020
VNTR,Venator Materials PLC,화학,511010
RMT,Royce Micro-Cap Trust Inc,다양한 금융서비스,555010
SDHY,Pgim Short Duration High Yield Opportunities Fund,다양한 금융서비스,555010
NTST,Netstreit Corp,부동산 운영 관리,601010
UBA,Urstadt Biddle Properties Inc Class A,주택 및 상업용 리츠,601020
SNR,New Senior Investment Group Inc,주택 및 상업용 리츠,601020
MLR,Miller Industries Inc,자동차 및 자동차 부품,531010
GBL,GAMCO Investors Inc Class A,투자은행 및 서비스,551020
MTL,Mechel PAO ADR,메탈&마이닝,512010
CTT,CatchMark Timber Trust Inc Class A,주택 및 상업용 리츠,601020
IMPX.U,AEA-Bridges Impact Corp.,기타 금융업,556010
PMO,Putnam Municipal Opportunities Trust,다양한 금융서비스,555010
TFC PR F,Truist Financial Corp ADR,은행,551010
BUI,Blackrock Utilities Infrastructure & Power Opportunities Trust,다양한 금융서비스,555010
EQD.U,Equity Distribution Acquisition Corp,기타 금융업,556010
NAT,Nordic American Tanker Ltd,오일 및 가스 장비 및 서비스,501030
JIH.U,Juniper Industrial Holdings Inc Unit Class A,기타 금융업,556010
BQ,Boqii Holding Ltd ADR,전문품 상점,534030
SNPR,Tortoise Acquisition II Corp Class A,기타 금융업,556010
SCE PR L,SCE Trust VI PRF,전기 유틸리티,591010
MOTV.U,Motive Capital Corp,기타 금융업,556010
AWP,Aberdeen Global Premier Properties Fund,다양한 금융서비스,555010
KTF,DWS Municipal Income Trust,다양한 금융서비스,555010
FRA,BlackRock Floating Rate Income Strategies Fund Inc,다양한 금융서비스,555010
STK,Columbia Seligman Premium Technology Growth Fund Inc,다양한 금융서비스,555010
SFTW.U,Osprey Technology Acquisition Corp Unit Class A,기타 금융업,556010
KEY PR J,KeyCorp ADR,은행,551010
EHI,Western Asset Global High Income Fund Inc,다양한 금융서비스,555010
SBR,Sabine Royalty Trust Unit,오일 및 가스,501020
DEH,D8 Holdings Corp Class A,기타 금융업,556010
YAC,Yucaipa Acquisition Corp Class A,기타 금융업,556010
NLY PR I,Annaly Capital Management Inc PRF,주택 및 상업용 리츠,601020
MIN,MFS Intermediate Income Trust,다양한 금융서비스,555010
JW.B,John Wiley & Sons Inc Class B,전문 및 상업 서비스,522030
GUT,Gabelli Utility Trust,다양한 금융서비스,555010
ENPC.U,Executive Network Partnering Corp,기타 금융업,556010
PCPC.U,Periphas Capital Partnering Corp,기타 금융업,556010
BFZ,BlackRock California Municipal Income Trust,다양한 금융서비스,555010
OAC,Oaktree Acquisition Corp Class A,기타 금융업,556010
SNPR.U,Tortoise Acquisition II Corp,기타 금융업,556010
SOAC,Sustainable Opportunities Acquisition Corp Class A,기타 금융업,556010
IIAC.U,Investindustrial Acquisition Corp,기타 금융업,556010
QVCC,QVC Inc PRF,소프트웨어 및 IT서비스,572010
TWND,Tailwind Acquisition Corp Class A,기타 금융업,556010
RZA,Reinsurance Group of America Inc PRF,보험,553010
TWI,Titan International Inc,자동차 및 자동차 부품,531010
CBAH.U,CBRE Acquisition Holdings Inc,기타 금융업,556010
HCI,Hci Group Inc,보험,553010
MHN,Blackrock Muniholdings New York Quality Fund Inc,다양한 금융서비스,555010
OLP,One Liberty Properties Inc,주택 및 상업용 리츠,601020
PDAC,Peridot Acquisition Corp Class A,기타 금융업,556010
NGAB.U,Northern Genesis Acquisition Corp II,,
DMYI,dMY Technology Group III Inc Class A,기타 금융업,556010
FPH,Five Point Holdings LLC Class A,부동산 운영 관리,601010
NAN,Nuveen New York Quality Municipal Income Fund,다양한 금융서비스,555010
MUJ,BlackRock Muniholdings New Jersy Quality Fund Inc,다양한 금융서비스,555010
QTS PR B,QTS Realty Trust Inc PRF,주택 및 상업용 리츠,601020
GIK.U,Gigcapital3 Inc Unit,기타 금융업,556010
ETM,Entercom Communications Corp Class A,미디어 및 출판,533020
GIK,Gigcapital3 Inc,기타 금융업,556010
ENPC,Executive Network Partnering Corp Class A,기타 금융업,556010
VRS,Verso Corp Class A,종이 및 임산물,513010
OIS,Oil States International Inc,오일 및 가스 장비 및 서비스,501030
MIY,Blackrock Muniyield Michigan Quality Fund Inc,다양한 금융서비스,555010
STON,StoneMor Partners LP,"개인, 가정 용품 및 서비스",542010
PIAI,Prime Impact Acquisition I Class A,기타 금융업,556010
BML PR L,Bank of America Corp ADR,은행,551010
SFTW,Osprey Technology Acquisition Corp Class A,기타 금융업,556010
CIO,City Office REIT Inc,주택 및 상업용 리츠,601020
XPOA,DPCM Capital Inc Class A,기타 금융업,556010
SPRQ.U,Spartan Acquisition II Corp,기타 금융업,556010
NRGX,Pimco Energy and Tactical Credit Opportunities Fund,다양한 금융서비스,555010
TPVG,Triplepoint Venture Growth BDC Corp,투자은행 및 서비스,551020
ASA,ASA Gold and Precious Metals Ltd,다양한 금융서비스,555010
FAII.U,Fortress Value Acquisition Corp II,기타 금융업,556010
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc,다양한 금융서비스,555010
NLY PR G,Annaly Capital Management Inc PRF,주택 및 상업용 리츠,601020
AEL PR A,American Equity Investment Life Holding Co ADR,보험,553010
DX,Dynex Capital Inc,주택 및 상업용 리츠,601020
TNK,Teekay Tankers Ltd Class A,오일 및 가스 장비 및 서비스,501030
ZTR,Virtus Total Return Fund Inc,다양한 금융서비스,555010
BTU,Peabody Energy Corp,석유,501010
STIC.U,Northern Star Acquisition Corp,기타 금융업,556010
RFL,Rafael Holdings Inc Class B,주택 및 상업용 리츠,601020
ORC,Orchid Island Capital Inc,주택 및 상업용 리츠,601020
TRC,Tejon Ranch Co,부동산 운영 관리,601010
