,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
201,KINDEX 삼성그룹섹터가중,108450,그룹주/삼성,357,14880,221717,-10.31,0.15,한국투자신탁운용
202,KOSEF 미국달러선물,138230,통화/미국달러,354,12660,15459,2.43,0.37,키움투자자산운용
203,KODEX 고배당,279530,스타일/스타일,352,10345,19219,1.97,0.3,삼성자산운용
204,TIGER 농산물선물Enhanced(H),137610,상품/농산물,351,8150,60550,22.28,0.69,미래에셋자산운용
205,KBSTAR 내수주플러스,326230,섹터/경기소비재,347,9350,2620,-5.98,0.4,케이비자산운용
207,KODEX IT,266370,섹터/IT,343,19045,15953,-9.35,0.45,삼성자산운용
208,KODEX KRX기후변화솔루션,404260,테마/녹색성장,336,8820,3742,-11.27,0.09,삼성자산운용
209,TIGER 코스피고배당,210780,스타일/스타일,331,15565,36211,-0.19,0.29,미래에셋자산운용
210,HANARO 코스닥150,304770,시장지수/코스닥,330,13110,2431,-10.17,0.2,엔에이치아문디자산운용
211,TIGER KRX기후변화솔루션,404540,테마/녹색성장,324,8880,7751,-11.2,0.09,미래에셋자산운용
212,KODEX 탄소효율그린뉴딜,375770,테마/녹색성장,324,8980,5813,-7.61,0.09,삼성자산운용
214,TIGER 골드선물(H),319640,상품/금속,323,13985,27519,7.21,0.39,미래에셋자산운용
215,HANARO Fn전기&수소차,381560,테마/기타,321,8120,33673,-16.07,0.45,엔에이치아문디자산운용
216,에셋플러스 글로벌플랫폼액티브,407830,해외지수/해외지수,320,7280,51235,-15.4,0.99,에셋플러스자산운용
217,KODEX 200미국채혼합,284430,기타/기타,312,12665,17403,-4.92,0.35,삼성자산운용
218,TIGER 200 헬스케어,227540,섹터/의료,310,20350,22008,-12.42,0.4,미래에셋자산운용
219,KODEX 국채선물10년,152380,채권/국공채권,307,66405,1821,-4.17,0.25,삼성자산운용
220,ARIRANG 미국나스닥테크,287180,해외지수/해외지수,304,22435,12644,-11.57,0.5,한화자산운용
221,KINDEX 친환경자동차밸류체인액티브,385600,테마/기타,303,9450,5925,-14.36,0.5,한국투자신탁운용
222,KODEX 미국S&P에너지(합성),218420,해외지수/해외지수,301,10300,86457,35.79,0.25,삼성자산운용
223,KINDEX ESG액티브,385590,테마/SRI,294,8675,3541,-7.71,0.5,한국투자신탁운용
224,ARIRANG 우량회사채50 1년,239660,채권/회사채권,283,108945,6068,0.23,0.14,한화자산운용
225,KODEX 미국채울트라30년선물(H),304660,해외지수/해외지수,281,11275,24828,-11.43,0.3,삼성자산운용
226,KODEX 차이나A50,169950,해외지수/해외지수,281,20210,3784,-12.05,0.12,삼성자산운용
227,KBSTAR 글로벌4차산업IT(합성 H),276650,해외지수/해외지수,281,21595,3465,-13.08,0.4,케이비자산운용
228,ARIRANG 미국장기우량회사채,332620,채권/회사채권,276,92360,1258,-12.23,0.32,한화자산운용
229,KODEX 미국러셀2000(H),280930,해외지수/해외지수,275,13420,11777,-4.11,0.45,삼성자산운용
230,KODEX 코스피대형주,337140,스타일/스타일,273,12960,5755,-8.31,0.15,삼성자산운용
232,KINDEX 미국다우존스리츠(합성 H),181480,기타/기타,269,96245,1153,-5.65,0.3,한국투자신탁운용
233,TIGER 차이나반도체FACTSET,396520,해외지수/해외지수,269,8350,22419,-12.24,0.49,미래에셋자산운용
234,TIGER 구리실물,160580,상품/금속,266,11295,21599,11.45,0.83,미래에셋자산운용
235,TIGER S&P글로벌헬스케어(합성),248270,해외지수/해외지수,263,18745,5000,-1.03,0.4,미래에셋자산운용
236,KODEX 헬스케어,266420,섹터/의료,262,14420,18082,-12.71,0.45,삼성자산운용
237,KBSTAR 중장기국공채액티브,272570,채권/국공채권,259,101515,86,-1.53,0.07,케이비자산운용
238,KODEX 배당성장,211900,스타일/스타일,259,14790,19752,-4.43,0.15,삼성자산운용
240,ARIRANG 미국다우존스고배당주(합성 H),213630,해외지수/해외지수,256,16785,12706,5.4,0.4,한화자산운용
241,KINDEX 미국고배당S&P,402970,해외지수/해외지수,249,10435,40661,1.61,0.5,한국투자신탁운용
242,TIGER AI코리아그로스액티브,365040,시장지수/코스피200,246,12285,5799,-8.59,0.4,미래에셋자산운용
243,SOL 200 Top10,411540,시장지수/코스피200,245,8745,4777,-12.55,0.15,신한자산운용
244,파워 200,152870,시장지수/코스피200,245,37630,485,-7.68,0.15,교보악사자산운용
245,TIGER KRX게임K-뉴딜,364990,섹터/IT,243,9530,131678,-23.02,0.4,미래에셋자산운용
246,TIGER Fn신재생에너지,377990,테마/녹색성장,242,9140,34521,-5.92,0.5,미래에셋자산운용
247,HANARO Fn K-POP&미디어,395290,섹터/경기소비재,241,10045,16204,-1.42,0.45,엔에이치아문디자산운용
248,TIMEFOLIO BBIG액티브,385710,테마/기타,241,9275,6944,-17.26,0.8,타임폴리오자산운용
249,SOL 미국S&P500ESG,399110,해외지수/해외지수,240,10415,20495,-2.8,0.15,신한자산운용
250,HANARO Fn K-게임,395280,섹터/IT,238,7810,29235,-21.74,0.45,엔에이치아문디자산운용
252,KBSTAR 비메모리반도체액티브,388420,섹터/IT,236,10275,66185,-4.46,0.5,케이비자산운용
253,KINDEX 아시아TOP50S&P,277540,해외지수/해외지수,235,13030,3560,-7.59,0.7,한국투자신탁운용
254,TIGER 200 금융,139270,섹터/금융,234,7220,68185,1.19,0.4,미래에셋자산운용
255,KODEX 운송,140710,섹터/산업재,233,6300,92445,6.87,0.45,삼성자산운용
256,KBSTAR 국고채3년,114100,채권/국공채권,233,110925,738,-0.62,0.12,케이비자산운용
