,종목명,코드,유형,순자산,종가,거래량,수익율,총보수,운용사
421,TIGER 로우볼,174350,투자전략/투자전략,79,12285,5216,0.45,0.4,미래에셋자산운용
422,마이티 코스피100,159800,시장지수/코스피100,79,27980,58,-7.6,0.39,DB자산운용
423,ARIRANG KS밸류가중TR,333970,투자전략/투자전략,78,15660,2254,-3.39,0.25,한화자산운용
424,KBSTAR Fn K-뉴딜디지털플러스,368200,테마/기타,78,9715,846,-19.04,0.09,케이비자산운용
426,KODEX 미국S&P바이오(합성),185680,해외지수/해외지수,77,23590,2627,-17.46,0.25,삼성자산운용
427,KBSTAR 글로벌데이터센터리츠나스닥(합성),375270,해외지수/해외지수,76,11680,3062,-8.14,0.4,케이비자산운용
428,TIGER 경기방어채권혼합,237440,기타/기타,75,9360,3981,-2.8,0.2,미래에셋자산운용
429,파워 고배당저변동성,192720,스타일/스타일,75,30900,192,0.65,0.23,교보악사자산운용
430,ARIRANG 심천차이넥스트(합성),256450,해외지수/해외지수,74,12185,1094,-21.31,0.5,한화자산운용
431,KINDEX Fn성장소비주도주,226380,투자전략/투자전략,74,7380,518,-3.91,0.5,한국투자신탁운용
432,KODEX MSCI퀄리티,275300,시장지수/MSCI Korea Index,74,9210,7351,-11.74,0.3,삼성자산운용
434,KBSTAR KRX300미국달러선물혼합,319870,기타/기타,73,14640,994,-6.03,0.3,케이비자산운용
436,KBSTAR V&S셀렉트밸류,234310,투자전략/투자전략,73,14485,333,-5.6,0.3,케이비자산운용
437,TIGER 의료기기,307510,섹터/의료,71,17780,2918,-9.4,0.5,미래에셋자산운용
438,KODEX 퀄리티Plus,244660,투자전략/투자전략,71,10155,6185,-2.73,0.3,삼성자산운용
439,KBSTAR KRX기후변화솔루션,403990,테마/녹색성장,71,8840,599,-11.24,0.3,케이비자산운용
440,SOL KRX기후변화솔루션,404650,테마/녹색성장,71,8790,611,-11.7,0.15,신한자산운용
441,KODEX 200동일가중,252650,시장지수/코스피200,70,11720,561,-3.5,0.25,삼성자산운용
442,TIGER S&P글로벌인프라(합성),269370,해외지수/해외지수,70,11720,956,6.73,0.4,미래에셋자산운용
443,TIGER 일본엔선물,292560,통화/기타통화,70,9990,2152,-2.3,0.25,미래에셋자산운용
444,KINDEX 코스피,305050,시장지수/코스피200,70,27980,1585,-8.43,0.02,한국투자신탁운용
445,KBSTAR 수출주,140570,스타일/스타일,70,11560,8196,-7.7,0.4,케이비자산운용
447,TIGER 200커버드콜5%OTM,166400,파생상품/구조화,69,13855,21,-6.67,0.38,미래에셋자산운용
448,KODEX MSCI모멘텀,275280,시장지수/MSCI Korea Index,69,11490,382,-9.53,0.3,삼성자산운용
450,KODEX 경기소비재,266390,섹터/경기소비재,68,11335,3853,-0.74,0.45,삼성자산운용
451,ARIRANG 선진국MSCI(합성 H),195970,해외지수/해외지수,68,11285,10006,-7.0,0.5,한화자산운용
453,KOSEF 릭소글로벌디지털경제MSCI,394340,해외지수/해외지수,66,8420,618,-13.95,0.31,키움투자자산운용
454,TIGER 200동일가중,252000,시장지수/코스피200,66,11990,1469,-2.95,0.25,미래에셋자산운용
456,KBSTAR 유로스탁스50(H),379790,해외지수/해외지수,65,10055,13717,-6.38,0.02,케이비자산운용
457,KINDEX 스마트퀄리티,322120,투자전략/투자전략,65,16265,539,-9.91,0.19,한국투자신탁운용
458,ARIRANG 스마트베타Quality채권혼합,238670,기타/기타,65,10800,696,-1.68,0.2,한화자산운용
459,TIGER 코스피중형주,277650,스타일/스타일,65,16110,2463,-3.56,0.29,미래에셋자산운용
460,ARIRANG S&P글로벌인프라,269530,해외지수/해외지수,65,12940,1357,7.88,0.3,한화자산운용
461,KBSTAR 팔라듐선물(H),334690,상품/금속,64,14970,22701,51.59,0.6,케이비자산운용
462,TIGER 200커버드콜ATM,289480,파생상품/구조화,64,10565,44,-4.6,0.38,미래에셋자산운용
464,HANARO 농업융복합산업,314700,테마/기타,63,11395,593,-5.51,0.5,엔에이치아문디자산운용
465,KBSTAR 모멘텀로우볼,252730,투자전략/투자전략,63,15670,216,-2.55,0.35,케이비자산운용
466,KODEX Fn Top10동일가중,395170,테마/우량주,63,7835,8644,-14.04,0.15,삼성자산운용
467,KINDEX 스마트모멘텀,272220,투자전략/투자전략,62,15545,1550,-8.69,0.19,한국투자신탁운용
468,TIGER 200 경기소비재,139290,섹터/경기소비재,62,15435,5083,-10.5,0.4,미래에셋자산운용
470,HK 베스트일레븐액티브,391670,시장지수/코스피200,61,8730,1853,-10.42,0.3,흥국자산운용
471,TIGER 차이나항셍25,117690,해외지수/해외지수,61,13525,2549,-8.25,0.49,미래에셋자산운용
472,KINDEX Fn5G플러스,380340,섹터/IT,60,8575,9933,-7.94,0.35,한국투자신탁운용
473,KBSTAR 200금융,284980,섹터/금융,59,9220,5420,0.99,0.19,케이비자산운용
474,파워 중기국고채,176710,채권/국공채권,59,98540,3,-0.59,0.15,교보악사자산운용
475,KBSTAR 200고배당커버드콜ATM,290080,파생상품/구조화,59,8365,126,3.9,0.4,케이비자산운용
476,KBSTAR 헬스케어,253280,섹터/의료,59,12975,3272,-11.49,0.4,케이비자산운용
477,KINDEX 싱가포르리츠채권혼합모닝스타,342140,해외지수/해외지수,59,9775,145,-2.98,0.4,한국투자신탁운용
478,ARIRANG KS모멘텀가중TR,333960,투자전략/투자전략,58,14590,2673,-5.72,0.25,한화자산운용
480,KBSTAR 우량업종,140580,테마/우량주,58,11595,166,-3.98,0.4,케이비자산운용
481,ARIRANG 탄소효율그린뉴딜,376250,테마/녹색성장,58,8965,516,-7.58,0.2,한화자산운용
482,KINDEX Fn K-뉴딜디지털플러스,368470,테마/기타,58,11600,2763,-19.02,0.02,한국투자신탁운용
483,TIGER 코스닥150IT,261060,시장지수/코스닥,58,16110,3397,-7.36,0.4,미래에셋자산운용
484,KINDEX 필리핀MSCI(합성),261920,해외지수/해외지수,58,14360,326,-2.91,0.5,한국투자신탁운용
485,HANARO KRX기후변화솔루션,404470,테마/녹색성장,57,8795,1057,-11.65,0.25,엔에이치아문디자산운용
486,TIGER KTOP30,228820,테마/우량주,57,9465,2354,-11.0,0.25,미래에셋자산운용
487,TIGER 라틴35,105010,해외지수/해외지수,57,3740,13211,17.94,0.49,미래에셋자산운용
488,ARIRANG KS로우사이즈가중TR,333950,투자전략/투자전략,56,16125,2538,-5.37,0.25,한화자산운용
490,마이티 200커버드콜ATM레버리지,292340,파생상품/구조화,56,9275,24,-8.98,0.51,DB자산운용
491,HK S&P코리아로우볼,215620,투자전략/투자전략,55,12105,288,-0.25,0.4,흥국자산운용
492,KBSTAR 미국장기국채선물(H),267440,해외지수/해외지수,55,10925,1328,-7.88,0.4,케이비자산운용
493,TIGER 코스피대형주,277640,스타일/스타일,54,13540,979,-8.01,0.29,미래에셋자산운용
494,TIGER 증권,157500,섹터/금융,54,4615,12445,-5.24,0.4,미래에셋자산운용
495,KODEX K-이노베이션액티브,373490,투자전략/투자전략,53,10530,2077,-5.73,0.5,삼성자산운용
496,TIGER 200 산업재,227550,섹터/산업재,52,6490,8886,3.67,0.4,미래에셋자산운용
497,TIGER 지주회사,307520,그룹주/기타,52,10360,2931,-6.29,0.5,미래에셋자산운용
498,ARIRANG KS로우볼가중TR,333940,투자전략/투자전략,52,12925,2496,-4.86,0.25,한화자산운용
499,KODEX 국채선물3년인버스,292770,채권/국공채권,52,50530,19,0.81,0.07,삼성자산운용
500,KODEX 멀티에셋하이인컴(H),321410,해외지수/해외지수,51,10230,378,-6.02,0.25,삼성자산운용
501,HK 하이볼액티브,391680,시장지수/코스피200,51,8525,3022,-7.49,0.3,흥국자산운용
502,KINDEX 국채선물3년인버스,299080,채권/국공채권,51,101150,4,0.84,0.05,한국투자신탁운용
503,KINDEX 국채선물10년인버스,299070,채권/국공채권,50,100615,13,4.74,0.05,한국투자신탁운용
505,SOL 중국본토 중소형 CSI500(합성 H),220130,해외지수/해외지수,49,5460,2422,-14.02,0.6,신한자산운용
506,KBSTAR 중소형고배당,281990,스타일/스타일,49,12240,1239,1.66,0.3,케이비자산운용
507,ARIRANG 200동일가중,295820,시장지수/코스피200,48,10765,96,-3.37,0.23,한화자산운용
508,TIGER 방송통신,098560,섹터/통신서비스,48,9290,3929,-3.18,0.46,미래에셋자산운용
511,ARIRANG 코스피중형주,301440,스타일/스타일,47,11890,66,-3.45,0.25,한화자산운용
513,KODEX MSCI EM선물(H),291890,해외지수/해외지수,45,8935,2193,-8.69,0.45,삼성자산운용
514,KBSTAR 국채선물5년추종,397420,채권/국공채권,44,48700,1416,-1.61,0.07,케이비자산운용
515,ARIRANG 주도업종,280920,투자전략/투자전략,44,9710,2745,-10.92,0.23,한화자산운용
516,TIGER 200 생활소비재,227560,섹터/필수소비재,43,9415,7208,-6.55,0.4,미래에셋자산운용
518,KINDEX 차이나항셍테크,371870,해외지수/해외지수,42,5955,10188,-19.25,0.25,한국투자신탁운용
521,KBSTAR 200커뮤니케이션서비스,315480,시장지수/코스피200,41,16860,1588,-13.54,0.19,케이비자산운용
522,KBSTAR 코스피ex200,361590,시장지수/코스피200,40,13350,7832,-4.71,0.25,케이비자산운용
523,TIGER 모멘텀,147970,투자전략/투자전략,40,24995,1451,1.05,0.29,미래에셋자산운용
525,KBSTAR 200중공업,285010,섹터/산업재,39,9845,4448,-1.1,0.19,케이비자산운용
526,ARIRANG 중형주저변동50,266550,투자전략/투자전략,39,11255,106,-1.57,0.23,한화자산운용
527,HANARO KAP초장기국고채,346000,채권/국공채권,39,41990,1347,-7.31,0.2,엔에이치아문디자산운용
528,KBSTAR 200건설,287300,섹터/산업재,38,12505,3831,0.08,0.19,케이비자산운용
530,ARIRANG KS퀄리티가중TR,333980,투자전략/투자전략,36,14510,1538,-8.22,0.25,한화자산운용
532,ARIRANG ESG우수기업,278420,테마/SRI,32,9165,2947,-0.87,0.23,한화자산운용
533,ARIRANG KRX300헬스케어,309210,시장지수/KRX300,31,10020,1754,-13.84,0.4,한화자산운용
535,KBSTAR 모멘텀밸류,252720,투자전략/투자전략,28,14185,562,-1.66,0.35,케이비자산운용
537,ARIRANG 코스닥150,301400,시장지수/코스닥,27,13125,2259,-10.62,0.15,한화자산운용
538,TIGER 가격조정,217790,투자전략/투자전략,23,23370,3391,-5.29,0.29,미래에셋자산운용
539,KBSTAR 200철강소재,285020,섹터/소재,21,8950,3071,3.65,0.19,케이비자산운용
540,KBSTAR 국채선물10년,295000,채권/국공채권,21,52875,1126,-4.22,0.07,케이비자산운용
541,KBSTAR 200에너지화학,284990,섹터/소재,20,11020,2020,-13.6,0.19,케이비자산운용
542,SOL 선진국MSCI World(합성 H),208470,해외지수/해외지수,18,17960,48,-6.65,0.35,신한자산운용
543,KBSTAR 200생활소비재,287330,섹터/필수소비재,17,7190,3685,-6.56,0.19,케이비자산운용
544,KBSTAR 200경기소비재,287310,섹터/경기소비재,10,9720,1408,-9.41,0.19,케이비자산운용
545,KBSTAR 200산업재,287320,섹터/산업재,7,11970,484,7.26,0.19,케이비자산운용
546,KINDEX 러시아MSCI(합성),265690,해외지수/해외지수,3,10070,72372,-67.83,0.5,한국투자신탁운용
548,KINDEX 차이나항셍테크,371870,해외지수/해외지수,42,5955,10188,-19.25,0.25,한국투자신탁운용
551,KBSTAR 200커뮤니케이션서비스,315480,시장지수/코스피200,41,16860,1588,-13.54,0.19,케이비자산운용
552,KBSTAR 코스피ex200,361590,시장지수/코스피200,40,13350,7832,-4.71,0.25,케이비자산운용
553,TIGER 모멘텀,147970,투자전략/투자전략,40,24995,1451,1.05,0.29,미래에셋자산운용
555,KBSTAR 200중공업,285010,섹터/산업재,39,9845,4448,-1.1,0.19,케이비자산운용
556,ARIRANG 중형주저변동50,266550,투자전략/투자전략,39,11255,106,-1.57,0.23,한화자산운용
557,HANARO KAP초장기국고채,346000,채권/국공채권,39,41990,1347,-7.31,0.2,엔에이치아문디자산운용
558,KBSTAR 200건설,287300,섹터/산업재,38,12505,3831,0.08,0.19,케이비자산운용
560,ARIRANG KS퀄리티가중TR,333980,투자전략/투자전략,36,14510,1538,-8.22,0.25,한화자산운용
562,ARIRANG ESG우수기업,278420,테마/SRI,32,9165,2947,-0.87,0.23,한화자산운용
563,ARIRANG KRX300헬스케어,309210,시장지수/KRX300,31,10020,1754,-13.84,0.4,한화자산운용
565,KBSTAR 모멘텀밸류,252720,투자전략/투자전략,28,14185,562,-1.66,0.35,케이비자산운용
567,ARIRANG 코스닥150,301400,시장지수/코스닥,27,13125,2259,-10.62,0.15,한화자산운용
568,TIGER 가격조정,217790,투자전략/투자전략,23,23370,3391,-5.29,0.29,미래에셋자산운용
569,KBSTAR 200철강소재,285020,섹터/소재,21,8950,3071,3.65,0.19,케이비자산운용
