,game_id,회차,성적,타자_1_1,타자_1_2,타자_1_3,타자_1_4,타자_1_5,타자_1_6,타자_1_7,타자_1_8,타자_2_1,타자_2_2,타자_2_3,타자_2_4,타자_2_5,타자_2_6,타자_2_7,타자_2_8,타자_2_9
60,201900142,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
61,201900142,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,201900142,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
63,201900150,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,201900150,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,201900150,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66,201900150,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,201900150,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
68,201900150,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69,201900150,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
70,201900150,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,201900150,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
72,201900157,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
73,201900157,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
74,201900157,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
75,201900157,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,201900157,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
77,201900157,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
78,201900157,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
79,201900157,8,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
80,201900157,9,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,201900161,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
82,201900161,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
83,201900161,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,201900161,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,201900161,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
86,201900161,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
87,201900161,7,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
88,201900161,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
